code,name,name_eng,price,shares_common,mcap_common,mcap_total,corp_code,induty_code,fiscal_month,fs_div,currency,fin_rule,net_income_parent,equity_parent,net_income_parent_prior,equity_parent_prior,dps_common,eps_reported,payout_reported_pct,valueup_plan,valueup_first_plan_date,valueup_first_preview_date,valueup_filings,is_financial
003490,대한항공,"KOREAN AIR LINES CO.,LTD",31500,368220609,11598949183500,11623608743700,00113526,511,12,CFS,KRW,standard,779673735522.0,10954036206278.0,1317261688939.0,10472882288647.0,750.0,2133.0,35.5,True,20241220,,2,False
443060,HD현대마린솔루션,"HD Hyundai Marine Solution Co., Ltd",239000,44833460,10715196940000,10715196940000,01194689,7212,12,CFS,KRW,standard,269571288127.0,824724855468.0,227940276635.0,773534561558.0,3950.0,6013.0,65.7,True,20241217,20251226,3,False
071050,한국금융지주,"Korea Investment Holdings Co., Ltd",186400,55725992,10387324908800,11242043729700,00432102,64992,12,CFS,KRW,standard,2020435000000.0,12010273000000.0,1039738000000.0,9650757000000.0,8690.0,34592.0,25.1,True,20250526,,3,True
307950,현대오토에버,HYUNDAI AUTOEVER CORPORATION.,377500,27423982,10352553205000,10352553205000,00362441,582,12,CFS,KRW,standard,182484125000.0,1847125538000.0,170788484000.0,1705413877000.0,1900.0,6654.0,28.6,False,,,0,False
078930,GS,GS Holdings,110700,92895495,10283531296500,10387998277700,00500254,64992,12,CFS,KRW,standard,798737000000.0,14703329000000.0,567020000000.0,14076817000000.0,3000.0,8500.0,35.6,True,20250814,,3,False
006260,LS,LS Corp.,321500,31200000,10030800000000,10030800000000,00105952,64992,12,CFS,KRW,standard,270815000000.0,5003131000000.0,237334000000.0,4591860000000.0,2500.0,9903.0,25.25,True,20260327,,1,False
047050,포스코인터내셔널,POSCO INTERNATIONAL,55300,175922788,9728530176400,9728530176400,00124504,461,12,CFS,KRW,standard,614085020000.0,6708434041000.0,514555065000.0,6544550750000.0,1850.0,3603.0,51.3,True,20241223,20240829,4,False
028050,삼성E&A,"SAMSUNG E&A CO.,LTD",49350,196000000,9672600000000,9672600000000,00126308,72129,12,CFS,KRW,standard,617480998604.0,4740713498360.0,756929334156.0,4231791398254.0,790.0,3150.0,25.1,True,20260320,,1,False
005940,NH투자증권,"NH INVESTMENT & SECURITIES CO.,LTD. ",26000,369206105,9599358730000,10033390994000,00120182,66121,12,CFS,KRW,standard,1031599000000.0,9433337000000.0,686659000000.0,8114380000000.0,1300.0,2882.0,47.29,True,20241219,20240830,3,True
323410,카카오뱅크,KakaoBank Corp.,19920,477120437,9504239105040,9504239105040,01133217,64121,12,OFS,KRW,OFS totals,480280000000.0,6749866000000.0,440065000000.0,6540131000000.0,460.0,1008.0,45.64,True,20241126,20240807,4,True
000500,가온전선,"GAON CABLE CO.,LTD",318500,29777607,9484167829500,9484167829500,00104768,28302,12,CFS,KRW,standard,51396625000.0,483788805000.0,25355195000.0,453705043000.0,100.0,3107.0,3.2,False,,,0,False
180640,한진칼,HANJINKAL,140100,66762275,9353394727500,9369383182050,00983040,64992,12,CFS,KRW,standard,155013035000.0,3342274997000.0,496999178000.0,3191221630000.0,360.0,2313.0,15.6,True,20250211,,2,False
003230,삼양식품,Samyang Foods Inc.,1215000,7533015,9152613225000,9152613225000,00126955,108,12,CFS,KRW,standard,389437490173.0,1255376104221.0,271985324667.0,816847076602.0,4800.0,52156.0,9.2,True,20250326,,2,False
259960,크래프톤,"KRAFTON, Inc.",198000,45916188,9091405224000,9091405224000,00760971,5821,12,CFS,KRW,standard,734769945450.0,7041422132872.0,1306089757323.0,6827837668465.0,2240.0,16454.0,13.6,True,20260430,,1,False
007660,이수페타시스,"ISUPETASYS CO.,LTD",118900,73409219,8728356139100,8728356139100,00107613,2622,12,CFS,KRW,standard,160481952837.0,755497178248.0,74034111779.0,327526708412.0,230.0,2279.0,11.0,True,20250430,,2,False
090430,아모레퍼시픽,AMOREPACIFIC CORP.,142500,58492759,8335218157500,8785509607000,00583424,20423,12,CFS,KRW,standard,235682371206.0,5449271639491.0,593187213073.0,5252371283408.0,1240.0,3416.0,36.3,True,20241112,20241031,4,False
0126Z0,삼성에피스홀딩스,"SAMSUNG EPIS HOLDINGS Co., Ltd.",330000,24883049,8211406170000,8211406170000,01965324,64992,12,CFS,KRW,standard,85313155522.0,5905769042165.0,,,0.0,3433.0,0.0,False,,,0,False
016360,삼성증권,"SAMSUNG SECURITIES CO.,LTD",91100,89300000,8135230000000,8135230000000,00104856,66121,12,CFS,KRW,standard,1007226734146.0,8068055959870.0,899037889864.0,7324213114450.0,4000.0,11279.0,35.46,True,20260320,,1,True
047040,대우건설,"DAEWOO ENGINEERING & CONSTRUCTION CO.,LTD",17440,410907638,7166229206720,7166229206720,00124540,41112,12,CFS,KRW,standard,-912263729166.0,3347692728720.0,234094221827.0,4291145722596.0,0.0,-2220.0,0.0,False,,,0,False
161390,한국타이어앤테크놀로지,"HANKOOK TIRE & TECHNOLOGY CO.,LTD",57300,123875069,7098041453700,7098041453700,00937324,221,12,CFS,KRW,standard,1089466342315.0,12105483748917.0,1114628550190.0,11100370242882.0,2300.0,8931.0,25.8,True,20250925,,2,False
021240,코웨이,"COWAY Co., Ltd.",99800,70767426,7062589114800,7062589114800,00170558,969,12,CFS,KRW,standard,617724967901.0,3613727511069.0,565600031105.0,3198397576980.0,1940.0,8630.0,22.2,True,20250213,20250106,4,False
